year,1,2,3,4,5,6,7,8,9,10,11,12
1885,14.9,12.7,15.9,21.3,25.3,27,27.1,26.7,25.9,24,20,17.6
1886,14.8,12,16.6,20.8,24.3,26.5,27,27.4,26.5,24.9,20.6,15.5
1887,14.8,13.3,16.3,20.6,23.8,27.6,27.5,27,27.7,24.4,20.7,17.5
1888,16.2,12.9,18,22.5,25.6,26.8,28.4,27.4,27.2,24.2,21.8,18.4
1889,14.8,14.3,17.7,20.7,25.6,27.8,28.6,27.2,26.9,26.1,20.4,17
1890,15,17.3,16.6,21.8,25.4,27.5,27.2,26.8,26.1,23.9,20.5,18.8
1891,17,14.9,16.2,19.7,24.4,26.3,27.3,27.3,27.3,26.3,21,17.6
1892,15.4,16.3,16.2,21.3,24.2,27,27.4,27,25.9,23.6,20.9,14.9
1893,13.1,13.1,16.6,21.2,24,27.3,26.7,27.3,26.6,24.1,20,16.8
1894,15.3,15.6,17.4,21.8,24.9,26.6,27.3,27.2,27.2,23.6,21.1,16.9
1895,13.6,15.7,17.3,22.4,25.1,27.3,27.8,27.4,26.7,23.8,19.8,17.3
1896,16.7,13.3,15.2,21.6,24.4,27.1,28.3,28,27.5,25.5,22.1,16.8
1897,17.3,12.3,17.4,20.2,26.2,27.5,27.8,27.1,27.3,24.9,21,15.9
1898,15.6,17.1,18,20.6,25.8,27.5,27.6,27.5,27.2,23.8,20.8,16.7
1899,15,15.3,18.3,21,25.3,26.5,28.3,27.2,26.8,23.8,19.9,19
1900,13.1,13.9,16.5,22.5,25.6,26.3,27.4,28.4,27.3,24.8,20.4,18
1901,18.3,12.7,17.6,22.1,25.1,27.5,27.9,27,26.9,25.2,20.8,16.4
1902,17.3,15.3,20.1,22.8,26.3,26.9,27.7,27.6,27.1,24.8,21.9,18.1
1903,14.6,14.7,19.1,22.4,24.1,27.8,27.6,27.1,25.9,24.5,19.6,16.2
1904,15.3,17,17.3,21.5,24.2,26.6,27.3,27.1,26.8,24.7,20.5,15.9
1905,17.9,12.9,14.9,19.9,25.6,27.3,28,27.3,26.7,24.4,20.7,18.5
1906,14.7,15.8,16.5,20.6,24.7,28,28.3,28.4,27.2,24.2,19.7,17.5
1907,16.3,14.8,17.7,20.6,24.6,26.6,28,27.7,27,26.1,22,16.6
1908,16.7,14.6,16.2,20.3,24.5,26.8,27.9,27.8,27.1,24.9,21.2,17.4
1909,15.9,15.8,17.8,21.8,23.8,27.8,27.9,28.2,27.9,25.4,21.4,17.5
1910,16.6,15.6,17.4,20.9,26.1,28,28,27.9,26.5,24.1,20.4,15.4
1911,14.9,15.7,18.6,21,24.2,28.3,27.8,27.7,27.3,23.5,20.6,17.9
1912,14,15.5,17.9,21.1,26.1,27.6,28.4,27.6,26.4,24.5,20.7,16.3
1913,15.1,15.8,16.5,21.8,25.1,27.4,28.2,27.6,26.9,24.5,21.1,16.1
1914,17.1,17.3,19.6,21.9,25.8,27.8,27.7,27.9,26.9,25.3,21.1,17.8
1915,15.6,17.5,18.3,23.7,24.1,27.6,28.5,28.6,27.1,26.1,21.6,17.4
1916,16,15.3,15.7,21.5,25.6,26.4,28.2,28.1,27,24.4,19.9,17.1
1917,13.2,15.2,16.5,20.8,23.8,27.7,27.3,27.8,27.8,25,20.1,15.1
1918,12.2,15.1,17.8,21.4,24.6,26.4,27.7,26.4,26.4,24.7,20.7,18.5
1919,16.4,14.4,19.3,22.5,24.8,28.1,27.7,28.2,26.7,23.5,20.1,16.1
1920,15,14.9,16.9,20.7,24.5,27.2,28.1,27.6,27.3,24.5,21.6,18.2
1921,14.9,15.4,17.7,22.1,25.1,27.2,27.6,27.9,26.7,24.3,21,18
1922,15.8,16.3,17.9,21.7,25.9,27.7,28.1,28,26.9,24.2,20.2,16.5
1923,15.6,14.9,18.5,22,25.4,27,27.8,27.3,27.3,24.4,22,17.9
1924,16.9,15.7,16.9,20.7,26.5,26.9,27.6,27.7,27.9,24.7,20.1,16.6
1925,13.8,13.3,17.6,18.5,25.2,27.3,28.1,28.1,27.4,24.1,22.2,17.2
